id,created_at,updated_at,name,innoforest_company_code,thevc_company_code,note,business_number,business_category
1255,2025-03-06 20:49:36.242 +0900,2025-03-06 20:49:36.267 +0900,에이아이네이션,CP00012552,,,,"인공지능,비전센싱/영상인식/센서,딥러닝/머신러닝,프로그래밍개발,B2B,SaaS/엔터프라이즈,소프트웨어,"
17,2024-10-03 20:21:25.421 +0900,2025-03-06 20:43:17.173 +0900,하이퍼커넥트,CP00000080,,,,"APP,WEB,SNS,데이팅,커뮤니티,화상회의/리모트워크/원격근무,B2C,플랫폼/마켓플레이스,콘텐츠,O2O,비대면/무인시스템/Untact,"
28,2024-10-03 20:21:32.896 +0900,2024-10-03 20:21:32.914 +0900,카카오페이,CP00003068,,,,"결제/페이먼트,B2C,SaaS/엔터프라이즈,거래수수료,APP,금융상품,"
1256,2025-03-06 20:49:36.979 +0900,2025-03-06 20:49:37.004 +0900,한경에이셀,CP00011829,,,,"빅데이터,B2B,B2C,APP,WEB,주식/증권,데이터,프로그래밍개발,SaaS/엔터프라이즈,소프트웨어,데이터/API,"
30,2024-10-03 20:21:34.382 +0900,2024-10-03 20:21:34.400 +0900,카카오엔터테인먼트,CP00010041,,,,"미디어,음악,영화,드라마,웹툰/만화,연예인,B2B,B2C,상품판매/브랜드/하드웨어,용역,상품/하드웨어,교육/컨설팅/용역,한류/K-POP/K-Contents,"
31,2024-10-03 20:21:35.069 +0900,2024-10-03 20:21:35.088 +0900,카카오엔터프라이즈,CP00010045,,,,"IoT,제조기술,협업툴/생산성,경리/경영관리,ERP/그룹웨어,클라우드,인공지능,B2B,SaaS/엔터프라이즈,상품판매/브랜드/하드웨어,용역,APP,상품/하드웨어,소프트웨어,데이터/API,"
32,2024-10-03 20:21:35.576 +0900,2024-10-03 20:21:35.594 +0900,카카오커머스,CP00010043,,,,"APP,WEB,이커머스,리뷰,유통,B2C,플랫폼/마켓플레이스,거래수수료,데이터/API,O2O,"
24,2024-10-03 20:21:30.631 +0900,2025-03-06 10:26:18.601 +0900,카카오모빌리티,CP00000789,,,,"GIS/지리정보,자율주행,커넥티드카/ADAS,택시,대리운전,인공지능,B2B,B2C,SaaS/엔터프라이즈,거래수수료,APP,교육/컨설팅/용역,O2O,"
27,2024-10-03 20:21:32.400 +0900,2025-03-06 12:00:29.288 +0900,카카오뱅크,CP00002061,,,,"결제/페이먼트,자산관리,대출,송금,주식/증권,은행,데이터,보안/암호화,B2C,SaaS/엔터프라이즈,APP,금융상품,"
1257,2025-03-06 20:49:37.769 +0900,2025-03-06 20:49:37.795 +0900,어크로스비,CP00002236,,,,"물류솔루션,풀필먼트,유아교육,육아정보,유아용품,B2C,플랫폼/마켓플레이스,APP,"
37,2024-10-03 20:21:39.262 +0900,2024-10-03 20:21:39.279 +0900,네이버클라우드,CP00012625,,,,"클라우드,B2B,B2C,APP,WEB,인터넷기술,데이터,SaaS/엔터프라이즈,"
59,2024-10-04 12:29:39.061 +0900,2025-03-06 10:21:40.336 +0900,뱅크샐러드,CP00000038,,,,"자산관리,송금,B2C,SaaS/엔터프라이즈,APP,교육/컨설팅/용역,"
43,2024-10-04 12:29:30.577 +0900,2025-03-06 10:22:04.292 +0900,클라썸,CP00000438,,,,"영상/비디오,비대면교육,인공지능,B2B,B2C,콘텐츠,교육/컨설팅/용역,여성창업 ,에듀테크,"
49,2024-10-04 12:29:33.507 +0900,2025-03-06 10:21:47.623 +0900,스픽이지랩스코리아,CP00011560,,,,"영어,비대면교육,개인화교육,B2C,플랫폼/마켓플레이스,APP,에듀테크,인공지능,외국어,구독,"
50,2024-10-04 12:29:33.981 +0900,2025-03-06 10:21:31.902 +0900,채널코퍼레이션,CP00001535,,,,"마케팅솔루션,협업툴/생산성,B2B,스타트업/창업자,SaaS/엔터프라이즈,구독,WEB,소프트웨어,구독경제,챗봇,생성형AI,"
